-	buster	chat	joe	the	a	bear	squir	true	fish	log	angry	fright	little	tall	chased	saw	said	thou	was	put	on	$	S'	S	X	N	Y	Q	P	D	M	A	V	R
25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r16	r16	r16	r16	r16	r16	r16	r16	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r17	r17	r17	r17	r17	r17	r17	r17	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r18	r18	r18	r18	r18	r18	r18	r18	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r19	r19	r19	r19	r19	r19	r19	r19	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r20	r20	r20	r20	r20	r20	r20	r20	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r6	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s12	s13	s14	s15	s16	s17	s36	r7	 	 	 	 	10	34	 	 	 	 	11	35
32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r8	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r4	r4	r4	r4	r4	r4	r4	r4	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r9	 	 	 	 	 	 	 	 	 	 	 	 
35	s7	s8	s9	s5	s6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	37	 	 	 	4	3	 	 	 	 
36	r31	r31	r31	r31	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r10	 	 	 	 	 	 	 	 	 	 	 	 
